ID,Prediction
1,0.002
2,0.006
3,0.0
4,0.132
5,0.0
6,0.094
7,0.0
8,0.058
9,0.114
10,0.83
11,0.0
12,0.0
13,0.908
14,1.0
15,0.0
16,0.962
17,0.0
18,0.214
19,0.998
20,0.0
21,0.296
22,0.158
23,0.946
24,1.0
25,0.0
26,0.018
27,0.002
28,0.0
29,0.0
30,0.072
31,0.0
32,0.0
33,0.0
34,0.0
35,0.008
36,0.01
37,0.0
38,0.052
39,0.016
40,0.07
41,0.95
42,0.0
43,0.696
44,0.0
45,0.0
46,0.0
47,0.008
48,0.454
49,0.0
50,0.014
51,0.0
52,0.016
53,0.6
54,0.012
55,0.492
56,0.154
57,0.0
58,0.284
59,0.038
60,1.0
61,0.0
62,1.0
63,0.118
64,0.0
65,0.0
66,0.0
67,1.0
68,0.004
69,0.0
70,0.0
71,0.0
72,0.064
73,0.0
74,0.002
75,0.674
76,0.0
77,0.0
78,0.002
79,0.972
80,0.0
81,0.0
82,0.0
83,0.038
84,0.0
85,0.344
86,1.0
87,0.02
88,0.0
89,0.038
90,0.96
91,0.564
92,0.968
93,0.002
94,0.0
95,0.202
96,0.992
97,0.0
98,0.0
99,0.0
100,0.022
101,1.0
102,0.218
103,0.0
104,1.0
105,1.0
106,0.0
107,0.13
108,0.0
109,0.974
110,0.264
111,0.0
112,0.026
113,0.0
114,0.0
115,0.856
116,0.138
117,0.0
118,0.0
119,0.0
120,0.002
121,1.0
122,0.126
123,1.0
124,0.278
125,1.0
126,0.0
127,0.25
128,0.0
129,0.0
130,0.0
131,0.998
132,0.192
133,0.992
134,0.98
135,0.0
136,0.0
137,0.108
138,0.0
139,0.068
140,0.0
141,0.866
142,0.0
143,0.0
144,0.018
145,0.0
146,0.992
147,0.0
148,0.0
149,0.542
150,0.0
151,0.576
152,0.986
153,0.07
154,0.062
155,0.104
156,0.982
157,0.248
158,0.0
159,0.0
160,0.01
161,1.0
162,0.974
163,0.0
164,0.0
165,0.128
166,0.896
167,0.002
168,0.0
169,0.0
170,0.0
171,0.832
172,0.0
173,0.002
174,0.0
175,0.064
176,0.706
177,0.08
178,0.464
179,0.0
180,0.0
181,0.998
182,0.02
183,0.0
184,0.0
185,0.0
186,0.0
187,0.004
188,0.02
189,0.0
190,0.0
191,0.0
192,0.06
193,0.118
194,0.666
195,0.0
196,0.0
197,0.934
198,0.0
199,0.016
200,0.0
201,0.0
202,0.068
203,0.002
204,0.0
205,0.0
206,0.992
207,0.028
208,0.0
209,1.0
210,0.0
211,0.0
212,0.036
213,0.0
214,0.0
215,0.0
216,0.086
217,0.0
218,0.0
219,0.0
220,1.0
221,0.004
222,0.0
223,0.0
224,0.934
225,0.978
226,0.0
227,0.0
228,0.288
229,0.0
230,0.744
231,0.97
232,0.004
233,0.456
234,0.18
235,0.996
236,0.002
237,0.204
238,0.0
239,0.0
240,0.0
241,0.454
242,0.0
243,0.0
244,0.26
245,0.0
246,0.922
247,0.0
248,1.0
249,0.65
250,0.926
251,0.0
252,0.0
253,0.0
254,0.0
255,0.26
256,0.0
257,0.248
258,0.878
259,0.168
260,0.0
261,0.0
262,0.314
263,0.178
264,0.002
265,0.0
266,0.0
267,0.0
268,1.0
269,0.014
270,0.0
271,1.0
272,0.0
273,0.0
274,0.072
275,0.324
276,0.0
277,0.006
278,0.0
279,0.002
280,0.0
281,1.0
282,0.002
283,0.0
284,0.0
285,0.0
286,0.656
287,0.022
288,0.324
289,0.0
290,0.396
291,0.082
292,1.0
293,0.0
294,0.046
295,0.018
296,0.0
297,0.368
298,0.614
299,0.0
300,0.0
301,1.0
302,0.01
303,0.0
304,0.004
305,0.0
306,0.93
307,0.0
308,0.776
309,0.0
310,0.002
311,0.0
312,0.24
313,0.0
314,0.0
315,0.01
316,0.0
317,1.0
318,0.042
319,0.002
320,0.0
321,0.0
322,0.022
323,0.116
324,0.31
325,0.988
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.096
332,0.264
333,0.24
334,0.0
335,0.0
336,0.0
337,0.24
338,0.182
339,0.748
340,0.866
341,0.102
342,1.0
343,0.0
344,0.0
345,0.016
346,0.998
347,0.0
348,0.338
349,0.996
350,0.45
351,0.0
352,0.596
353,0.486
354,0.808
355,0.274
356,0.0
357,0.0
358,0.0
359,0.838
360,0.028
361,0.0
362,0.002
363,0.0
364,0.276
365,0.0
366,0.282
367,0.0
368,0.994
369,0.03
370,0.996
371,0.002
372,0.0
373,0.0
374,0.004
375,0.0
376,0.0
377,0.01
378,0.0
379,0.996
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,1.0
388,0.0
389,0.04
390,0.0
391,0.134
392,0.99
393,0.0
394,0.006
395,1.0
396,0.6
397,0.502
398,1.0
399,0.21
400,0.356
401,0.17
402,0.0
403,0.018
404,0.0
405,0.526
406,0.116
407,0.0
408,0.198
409,0.31
410,0.056
411,1.0
412,0.098
413,0.0
414,0.258
415,0.0
416,0.066
417,0.022
418,0.856
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,1.0
425,0.09
426,0.05
427,0.342
428,0.0
429,0.0
430,0.0
431,0.202
432,0.038
433,0.0
434,0.238
435,0.002
436,0.02
437,0.796
438,0.0
439,0.0
440,0.0
441,0.838
442,1.0
443,0.0
444,0.624
445,0.0
446,0.028
447,0.0
448,0.0
449,0.276
450,0.684
451,0.986
452,0.0
453,0.0
454,0.992
455,0.0
456,0.0
457,0.0
458,0.358
459,0.0
460,0.0
461,0.006
462,0.422
463,0.51
464,0.0
465,0.022
466,0.0
467,0.07
468,0.0
469,0.032
470,0.468
471,0.928
472,0.538
473,0.57
474,0.0
475,0.648
476,0.0
477,0.0
478,0.08
479,0.394
480,0.0
481,1.0
482,0.0
483,0.148
484,0.94
485,0.0
486,0.002
487,0.362
488,0.0
489,0.004
490,0.018
491,0.0
492,0.0
493,0.0
494,0.0
495,0.046
496,0.0
497,0.01
498,0.55
499,0.45
500,0.096
501,0.01
502,0.0
503,1.0
504,0.0
505,0.0
506,0.942
507,0.068
508,0.0
509,0.0
510,0.01
511,0.04
512,0.802
513,0.064
514,0.186
515,0.0
516,0.706
517,0.01
518,0.002
519,0.984
520,0.028
521,0.0
522,0.004
523,0.062
524,0.0
525,0.292
526,0.534
527,0.0
528,0.382
529,0.0
530,1.0
531,0.0
532,0.7
533,0.0
534,0.0
535,0.002
536,0.0
537,0.028
538,0.0
539,0.0
540,0.986
541,0.0
542,1.0
543,0.0
544,0.0
545,0.022
546,0.002
547,0.312
548,0.8
549,0.0
550,0.01
551,0.144
552,0.898
553,0.0
554,0.0
555,0.974
556,0.0
557,0.0
558,0.102
559,0.39
560,0.978
561,0.064
562,0.882
563,0.974
564,0.002
565,0.03
566,0.0
567,1.0
568,0.996
569,0.006
570,0.0
571,0.0
572,0.374
573,0.0
574,0.994
575,0.316
576,0.016
577,0.028
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,1.0
586,0.0
587,0.994
588,0.938
589,0.0
590,0.006
591,0.12
592,0.0
593,0.0
594,0.0
595,0.976
596,0.038
597,0.298
598,0.108
599,0.0
600,0.0
601,0.978
602,0.0
603,0.0
604,0.292
605,0.0
606,0.274
607,0.0
608,0.0
609,0.0
610,0.004
611,0.798
612,0.03
613,0.0
614,0.0
615,1.0
616,0.0
617,0.0
618,0.0
619,0.004
620,0.0
621,0.06
622,1.0
623,0.002
624,1.0
625,0.0
626,0.0
627,0.0
628,0.294
629,0.614
630,0.07
631,0.426
632,1.0
633,0.0
634,0.0
635,0.002
636,0.0
637,0.016
638,0.234
639,0.298
640,0.998
641,0.378
642,0.0
643,0.0
644,0.0
645,1.0
646,0.594
647,1.0
648,0.294
649,0.992
650,0.0
651,0.004
652,0.0
653,0.062
654,0.014
655,0.186
656,0.838
657,0.976
658,0.0
659,0.998
660,1.0
661,0.188
662,0.0
663,0.0
664,0.048
665,0.194
666,0.028
667,0.0
668,0.928
669,0.0
670,0.016
671,0.0
672,0.0
673,0.01
674,0.188
675,0.0
676,0.004
677,0.0
678,0.008
679,0.0
680,0.226
681,0.318
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.018
688,0.204
689,0.91
690,0.0
691,0.0
692,0.0
693,0.294
694,0.758
695,0.992
696,0.182
697,0.004
698,0.098
699,0.0
700,0.47
701,0.0
702,0.176
703,0.2
704,0.0
705,0.0
706,0.24
707,0.002
708,0.018
709,0.13
710,0.02
711,0.0
712,0.01
713,0.0
714,0.0
715,0.0
716,0.94
717,0.86
718,0.132
719,0.086
720,1.0
721,0.154
722,0.0
723,0.0
724,0.0
725,0.02
726,0.804
727,0.0
728,1.0
729,0.124
730,0.0
731,0.0
732,0.0
733,0.0
734,0.96
735,1.0
736,0.002
737,0.0
738,0.986
739,0.0
740,1.0
741,0.016
742,0.616
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,1.0
751,0.272
752,0.0
753,0.1
754,0.0
755,0.0
756,0.064
757,0.0
758,0.004
759,0.456
760,0.0
761,1.0
762,0.99
763,0.0
764,0.282
765,0.04
766,0.36
767,0.864
768,0.0
769,0.0
770,0.294
771,0.956
772,0.242
773,0.0
774,0.01
775,0.006
776,0.382
777,0.0
778,0.864
779,0.09
780,0.0
781,0.042
782,0.396
783,0.85
784,0.702
785,0.002
786,0.292
787,0.224
